prodi,kode_mk,nama_mata_kuliah,semester_mk,sks,metode
Antropologi Sosial,ISA 60203,Identifikasi dan Resolusi Konflik,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60216,"Budaya, Gender dan Sexualitas",Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60205,Pop Culture,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,"ISA
60206",Corporate Culture,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60219,Kebudayaan dan Kesehatan Reproduksi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60218,Etnografi Mentawai,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60213,Etnografi Asia Tenggara,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60211,Etnografi Melayu ,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60212,Etnografi Jawa,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60288,TEKNIK BIOLOGI ANALISIS PRODUK HALAL,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60289,TEKNIK BIOLOGI LAPANGAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60210,EKOLOGI HUTAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60214,EKOLOGI VEGETASI,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60220,TEKNIK HEMATOLOGI VERTEBRATA,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60222,BIOLOGI MIKORIZA,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60224,FISIOLOGI BIJI,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60225,FITOHORMON,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60226,FOTOBIOLOGI TUMBUHAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60228,METABOLISME TUMBUHAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60229,NUTRISI TUMBUHAN,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60230,GENETIKA MOLEKULER,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60232,KELAINAN GENETIK,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60272,BIOLOGI FORENSIK,Ganjil 2024/2025,3,Biasa
