prodi,kode_mk,nama mata kuliah,semester mk,sks,metode
Antropologi Sosial,ISA60203,Identifikasi Dan Resolusi Konflik,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60216,"Budaya, Gender Dan Sexualitas",Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60205,Pop Culture,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,"ISA
60206",Corporate Culture,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60219,Kebudayaan Dan Kesehatan Reproduksi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60218,Etnografi Mentawai,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60213,Etnografi Asia Tenggara,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60211,Etnografi Melayu,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60212,Etnografi Jawa,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60288,Teknik Biologi Analisis Produk Halal,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60289,Teknik Biologi Lapangan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60210,Ekologi Hutan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60214,Ekologi Vegetasi,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60220,Teknik Hematologi Vertebrata,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60222,Biologi Mikoriza,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60224,Fisiologi Biji,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60225,Fitohormon,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60226,Fotobiologi Tumbuhan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60228,Metabolisme Tumbuhan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60229,Nutrisi Tumbuhan,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60230,Genetika Molekuler,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60232,Kelainan Genetik,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60272,Biologi Forensik,Ganjil 2024/2025,3,Biasa
Biologi(1),BIO60280,Pemetaan Dan Pemodelan Biodiversitas,Ganjil 2024/2025,3,Biasa
